Time,Lat,Long,Pitch,Yaw,Roll,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
2015-10-18 20:02:43.309,-36.88733,174.66101,8.38,-133.79,167.65,130.13,2045.97,-11589.31,-1087.95,811.98,-590.90
2015-10-18 20:02:43.661,-36.88733,174.66101,3.28,-114.26,171.12,-295.87,2746.97,-15613.31,-1038.95,804.98,-423.90
2015-10-18 20:02:44.099,-36.887314,174.66103,-1.63,-104.07,171.93,-878.87,1603.97,-9237.31,-1122.95,878.98,-322.90
2015-10-18 20:02:44.216,-36.887314,174.66103,-6.88,-88.61,165.82,-1837.87,2323.97,-8362.31,-1146.95,957.98,-426.90
2015-10-18 20:02:44.872,-36.887314,174.66103,-11.39,-79.70,165.80,1459.13,3231.97,-9945.31,-983.95,950.98,-593.90
2015-10-18 20:02:45.129,-36.887314,174.66103,-21.69,-49.73,163.97,-1429.87,2201.97,-8241.31,-1104.95,896.98,-522.90
2015-10-18 20:02:45.653,-36.887314,174.66103,-24.74,-41.15,162.02,441.13,1993.97,-10979.31,-980.95,866.98,-569.90
2015-10-18 20:02:45.932,-36.887314,174.66103,-26.98,-27.63,157.44,1793.13,1790.97,-11594.31,-1000.95,831.98,-546.90
2015-10-18 20:02:46.443,-36.887314,174.66103,-23.70,-7.60,149.01,-2278.87,1166.97,-11266.31,-1144.95,679.98,-586.90
2015-10-18 20:02:47.251,-36.887314,174.66103,-19.93,-3.30,146.09,-2242.87,755.97,-11781.31,-1188.95,556.98,-470.90
2015-10-18 20:02:47.507,-36.887314,174.66103,-0.77,-9.73,162.66,-1979.87,309.97,-9529.31,-1249.95,439.98,-136.90
2015-10-18 20:02:48.159,-36.887314,174.66103,0.11,-14.07,162.17,-2216.87,655.97,-14198.31,-1231.95,481.98,-43.90
2015-10-18 20:02:48.532,-36.887314,174.66103,0.68,-21.13,160.31,-928.87,513.97,-14160.31,-1191.95,540.98,-31.90
2015-10-18 20:02:48.917,-36.887314,174.66103,0.43,-22.54,159.61,-1881.87,586.97,-13303.31,-1177.95,545.98,-12.90
2015-10-18 20:02:49.133,-36.887314,174.66103,-0.40,-23.74,158.92,-879.87,1825.97,-11577.31,-1278.95,566.98,17.10
2015-10-18 20:02:49.543,-36.887314,174.66103,-2.19,-24.43,158.14,-891.87,664.97,-17172.32,-1248.95,649.98,37.10
2015-10-18 20:02:50.034,-36.887314,174.66103,-0.14,-24.03,157.35,-1065.87,3458.97,-12423.31,-1307.95,541.98,-141.90
2015-10-18 20:02:50.403,-36.887314,174.66103,8.89,-22.79,155.81,-1719.87,4044.97,-12998.31,-1250.95,251.98,-252.90
2015-10-18 20:02:50.686,-36.887314,174.66103,12.22,-25.37,156.26,-2434.87,3117.97,-13472.31,-1211.95,298.98,13.10
2015-10-18 20:02:51.374,-36.887314,174.66103,21.55,-40.43,130.28,-549.87,4751.97,-13769.31,-1181.95,530.98,273.10
2015-10-18 20:02:52.032,-36.887314,174.66103,12.69,-36.47,157.87,-2110.87,429.97,-4207.31,-1082.95,736.98,-57.90
2015-10-18 20:02:52.262,-36.887314,174.66103,14.90,-34.51,166.96,-737.87,2264.97,-11762.31,-1386.95,613.98,-246.90
2015-10-18 20:02:52.929,-36.887314,174.66103,16.92,-36.55,163.12,-846.87,2784.97,-11081.31,-1197.95,565.98,-207.90
2015-10-18 20:02:53.311,-36.887314,174.66103,19.77,-36.46,164.86,-1928.87,2262.97,-9445.31,-1283.95,501.98,-145.90
2015-10-18 20:02:53.673,-36.887314,174.66103,20.17,-37.87,164.85,-904.87,2964.97,-11345.31,-1225.95,522.98,-68.90
2015-10-18 20:02:54.187,-36.887314,174.66103,19.89,-40.19,164.78,-1600.87,2616.97,-11597.31,-1256.95,562.98,-43.90
2015-10-18 20:02:54.369,-36.887314,174.66103,17.69,-41.54,164.61,-824.87,2192.97,-9499.31,-1264.95,645.98,2.10
2015-10-18 20:02:54.513,-36.887314,174.66103,16.48,-42.80,153.12,-473.87,1097.97,-10965.31,-1172.95,682.98,-142.90
2015-10-18 20:02:55.097,-36.887314,174.66103,15.88,-39.82,154.18,-966.87,1902.97,-9490.31,-1188.95,657.98,-148.90
2015-10-18 20:02:55.197,-36.887314,174.66103,12.12,-33.48,155.43,-381.87,361.97,-10184.31,-1116.95,747.98,-132.90
2015-10-18 20:02:55.985,-36.887314,174.66103,9.14,-31.10,156.07,-1020.87,478.97,-11810.31,-1256.95,819.98,-145.90
2015-10-18 20:02:56.260,-36.887314,174.66103,-0.39,-16.54,161.40,-30.87,674.97,-17471.32,-1100.95,828.98,-400.90
2015-10-18 20:02:56.552,-36.887314,174.66103,-1.20,-11.42,162.55,-1502.87,-838.03,-8955.31,-1162.95,707.98,-433.90
2015-10-18 20:02:57.032,-36.887314,174.66103,-1.72,-7.16,163.40,-1286.87,960.97,-11412.31,-1149.95,678.98,-398.90
2015-10-18 20:02:57.334,-36.887314,174.66103,-2.50,-1.68,163.43,-803.87,-72.03,-15100.31,-1142.95,658.98,-269.90
2015-10-18 20:02:57.567,174.66101,174.66103,-3.07,0.55,163.35,-1157.87,301.97,-9965.31,-1198.95,645.98,-287.90
2015-10-18 20:02:57.886,-36.887333,174.66101,-2.98,3.10,163.62,-548.87,-149.03,-10793.31,-1209.95,609.98,-290.90
2015-10-18 20:02:58.118,-36.887333,174.66101,-1.73,6.20,163.68,-1322.87,-609.03,-9786.31,-1129.95,536.98,-319.90
2015-10-18 20:02:58.377,-36.887333,174.66101,-0.16,8.25,163.51,-2046.87,1970.97,-12639.31,-1197.95,525.98,-257.90
2015-10-18 20:02:58.622,-36.887333,174.66101,4.61,10.51,169.03,-922.87,629.97,-8579.31,-1175.95,496.98,-243.90
2015-10-18 20:02:58.909,-36.887333,174.66101,8.57,8.14,173.89,-2450.87,-70.03,-12942.31,-1230.95,467.98,-225.90
2015-10-18 20:02:59.369,-36.887333,174.66101,10.27,5.91,173.44,-1356.87,-2078.03,-8512.31,-1237.95,445.98,-197.90
2015-10-18 20:02:59.755,-36.887333,174.66101,19.31,0.67,168.14,-864.87,2325.97,-8573.31,-1263.95,470.98,-93.90
2015-10-18 20:02:59.936,-36.887333,174.66101,20.56,-0.92,167.90,-1104.87,3325.97,-9571.31,-1280.95,481.98,-96.90
2015-10-18 20:03:00.070,-36.887333,174.66101,21.71,-1.75,167.69,-1341.87,3151.97,-11963.31,-1165.95,476.98,-88.90
2015-10-18 20:03:00.474,-36.887333,174.66101,23.76,-2.34,167.89,-827.87,3259.97,-10041.31,-1214.95,456.98,-144.90
2015-10-18 20:03:00.739,-36.887333,174.66101,31.59,-2.35,169.07,-1846.87,3060.97,-10588.31,-1183.95,220.98,-205.90
2015-10-18 20:03:01.080,-36.887333,174.66101,37.31,-3.64,169.48,-1437.87,3394.97,-9280.31,-1225.95,206.98,-89.90
2015-10-18 20:03:01.438,-36.887333,174.66101,22.01,-17.15,149.29,-881.87,3118.97,-6765.31,-1050.95,198.98,49.10
2015-10-18 20:03:01.821,-36.887333,174.66101,19.43,-4.52,167.38,-2995.87,3799.97,-8972.31,-1201.95,185.98,2.10
2015-10-18 20:03:02.060,-36.887333,174.66101,25.78,-6.54,168.64,-1169.87,2383.97,-10899.31,-972.95,220.98,282.10
2015-10-18 20:03:02.466,-36.887333,174.66101,28.01,-10.03,169.36,-2256.87,1569.97,-6897.31,-945.95,324.98,288.10
2015-10-18 20:03:02.838,-36.887333,174.66101,31.65,-14.30,171.01,-2603.87,257.97,-15272.31,-1076.95,281.98,191.10
2015-10-18 20:03:02.984,174.66087,174.66101,35.23,-18.03,170.67,-2250.87,720.97,-9054.31,-1141.95,252.98,241.10
2015-10-18 20:03:03.259,-36.887314,174.66087,38.24,-23.15,170.38,-1629.87,77.97,-14722.31,-986.95,289.98,308.10
2015-10-18 20:03:03.664,-36.887314,174.66087,39.81,-29.57,169.80,-740.87,614.97,-18405.32,-920.95,362.98,350.10
2015-10-18 20:03:03.942,-36.887314,174.66087,41.56,-39.40,167.53,-1288.87,2483.97,-11939.31,-989.95,474.98,353.10
2015-10-18 20:03:04.303,-36.887314,174.66087,41.07,-44.74,165.52,-546.87,3071.97,-9495.31,-1198.95,484.98,300.10
2015-10-18 20:03:04.581,-36.887314,174.66087,36.16,-48.15,165.50,-457.87,951.97,-12775.31,-973.95,451.98,242.10
2015-10-18 20:03:04.894,-36.887314,174.66087,35.29,-53.43,161.84,-1554.87,-804.03,-4985.31,-1170.95,490.98,261.10
2015-10-18 20:03:05.955,-36.887314,174.66087,17.45,-46.56,-176.97,-1324.87,539.97,-12504.31,-1146.95,632.98,152.10
2015-10-18 20:03:06.161,-36.887314,174.66087,27.26,-49.65,-175.93,-1534.87,-730.03,-9013.31,-1202.95,605.98,95.10
2015-10-18 20:03:06.838,-36.887314,174.66087,24.39,-52.36,-177.60,-685.87,-308.03,-9783.31,-1293.95,631.98,58.10
2015-10-18 20:03:07.334,-36.887314,174.66087,24.54,-50.32,-172.77,-685.87,1131.97,-18054.32,-1068.95,597.98,-62.90
2015-10-18 20:03:07.630,-36.887314,174.66087,14.76,-44.55,-163.13,-4.87,1571.97,-15662.31,-1383.95,522.98,-51.90
2015-10-18 20:03:08.031,-36.887314,174.66087,18.73,-47.50,-176.61,-567.87,322.97,-8186.31,-1256.95,444.98,-109.90
2015-10-18 20:03:08.292,-36.887314,174.66087,19.13,-46.80,-176.36,-1465.87,2514.97,-15913.31,-1235.95,504.98,-62.90
2015-10-18 20:03:08.720,-36.887314,174.66087,18.80,-47.39,-176.62,-760.87,1044.97,-12023.31,-1273.95,523.98,-28.90
2015-10-18 20:03:09.084,-36.887314,174.66087,17.34,-47.67,-176.54,-626.87,1698.97,-9870.31,-1139.95,571.98,-12.90
2015-10-18 20:03:09.452,-36.887314,174.66087,11.55,-49.42,177.51,-1140.87,3016.97,-12669.31,-1155.95,542.98,-60.90
2015-10-18 20:03:10.101,-36.887314,174.66087,11.80,-47.25,177.32,-1137.87,1881.97,-2548.31,-1215.95,496.98,-105.90
2015-10-18 20:03:10.687,-36.887314,174.66087,23.38,-55.46,145.72,-1102.87,2587.97,-8718.31,-1296.95,501.98,-35.90
2015-10-18 20:03:11.474,-36.887314,174.66087,11.22,-53.34,156.59,-1151.87,3.97,-7315.31,-901.95,564.98,-22.90
2015-10-18 20:03:12.191,-36.887314,174.66087,8.34,-45.64,169.66,-1139.87,2226.97,-16093.31,-1115.95,576.98,-1.90
2015-10-18 20:03:12.390,-36.887314,174.66087,6.50,-44.10,169.82,-1421.87,497.97,-13603.31,-1268.95,558.98,-48.90
2015-10-18 20:03:12.654,-36.887314,174.66087,6.65,-42.92,169.12,-1151.87,1792.97,-11026.31,-1125.95,531.98,-72.90
2015-10-18 20:03:12.920,-36.887314,174.66087,7.23,-39.50,168.63,-827.87,1829.97,-10129.31,-1281.95,492.98,-75.90
2015-10-18 20:03:13.194,-36.887314,174.66087,13.63,-38.84,174.40,-1109.87,2377.97,-15865.31,-1311.95,492.98,-58.90
2015-10-18 20:03:13.722,-36.887993,174.65915,24.35,-45.23,158.90,231.13,579.97,-11241.31,-1262.95,547.98,-0.90
2015-10-18 20:03:14.121,-36.887993,174.65915,24.35,-49.77,158.86,364.13,1445.97,-1995.31,-1253.95,530.98,-39.90
2015-10-18 20:03:14.382,-36.887993,174.65915,23.80,-52.23,158.82,-590.87,1874.97,-9436.31,-1282.95,539.98,-39.90
2015-10-18 20:03:14.724,-36.887993,174.65915,23.81,-52.42,159.14,-2021.87,2934.97,-16414.32,-1181.95,551.98,-37.90
2015-10-18 20:03:15.367,-36.887993,174.65915,23.76,-53.25,159.30,-1364.87,3618.97,-16985.32,-1296.95,539.98,-34.90
2015-10-18 20:03:15.962,-36.887993,174.65915,3.31,-51.92,154.85,-403.87,1738.97,-11064.31,-1239.95,536.98,-57.90
2015-10-18 20:03:16.967,-36.887993,174.65915,13.07,-42.09,148.66,-1614.87,3041.97,-9183.31,-1245.95,467.98,-66.90
2015-10-18 20:03:17.288,-36.887993,174.65915,13.02,-40.80,147.90,-229.87,4009.97,-22664.32,-1296.95,499.98,-80.90
2015-10-18 20:03:17.560,-36.887993,174.65915,10.97,-36.32,172.85,-431.87,1911.97,-5340.31,-1223.95,534.98,-30.90
2015-10-18 20:03:17.966,-36.887993,174.65915,8.52,-39.24,158.61,-1363.87,759.97,597.69,-999.95,549.98,-60.90
2015-10-18 20:03:18.445,-36.887993,174.65915,9.10,-38.74,159.09,-213.87,4327.97,-13163.31,-1163.95,527.98,-48.90
2015-10-18 20:03:18.596,-36.887993,174.65915,14.95,-37.26,165.93,-590.87,2983.97,-14699.31,-1341.95,491.98,-46.90
2015-10-18 20:03:18.883,-36.887993,174.65915,17.38,-41.98,152.03,-1560.87,3139.97,-10468.31,-1283.95,507.98,-58.90
2015-10-18 20:03:19.142,-36.887993,174.65915,16.98,-42.66,151.87,-1309.87,3125.97,-13262.31,-1296.95,522.98,-20.90
2015-10-18 20:03:19.614,-36.887993,174.65915,15.61,-42.38,151.61,-1253.87,3289.97,-8867.31,-1167.95,524.98,-46.90
2015-10-18 20:03:20.357,-36.887993,174.65915,14.81,-42.77,152.46,-1762.87,3668.97,-15667.31,-1291.95,583.98,8.10
2015-10-18 20:03:20.518,-36.887993,174.65915,13.32,-41.18,155.19,-607.87,3505.97,-9735.31,-1249.95,462.98,-109.90
2015-10-18 20:03:21.012,-36.887993,174.65915,18.47,-40.33,154.73,-1162.87,2286.97,-12991.31,-1236.95,347.98,-138.90
2015-10-18 20:03:21.305,-36.887993,174.65915,15.60,-38.31,167.10,-663.87,1166.97,-11896.31,-1291.95,64.98,-162.90
2015-10-18 20:03:21.692,-36.887993,174.65915,16.71,-42.72,159.30,-1883.87,3419.97,-11558.31,-1139.95,124.98,91.10
2015-10-18 20:03:22.073,-36.887993,174.65915,21.05,-45.20,159.53,-1544.87,1629.97,-12307.31,-1289.95,266.98,198.10
2015-10-18 20:03:22.466,-36.887993,174.65915,11.09,-48.72,171.31,-835.87,188.97,-11870.31,-1111.95,422.98,367.10
2015-10-18 20:03:22.993,-36.887993,174.65915,26.90,-49.45,172.17,-449.87,1378.97,-16121.31,-1171.95,289.98,267.10
2015-10-18 20:03:23.371,-36.887993,174.65915,4.15,-51.16,179.07,-1502.87,761.97,-8564.31,-1228.95,244.98,165.10
2015-10-18 20:03:24.107,-36.887993,174.65915,21.12,-55.93,170.89,-2576.87,1869.97,-15746.31,-821.95,242.98,280.10
2015-10-18 20:03:24.670,-36.887993,174.65915,27.42,-75.23,166.02,-427.87,59.97,-13952.31,-1094.95,593.98,399.10
2015-10-18 20:03:24.924,-36.887993,174.65915,19.96,-78.72,171.10,-365.87,-713.03,-11386.31,-1266.95,578.98,241.10
2015-10-18 20:03:25.248,-36.887993,174.65915,16.32,-81.33,170.67,-1729.87,-1317.03,-10645.31,-1263.95,690.98,229.10
2015-10-18 20:03:25.679,-36.887993,174.65915,13.80,-82.63,170.29,-2548.87,1083.97,-12157.31,-1173.95,647.98,64.10
